baslik,icerik,etiket,kaynak_url
"Fenerbahçe, Norveç'te oynanacak maç öncesi hazırlıklara başladı","Fenerbahçe, UEFA Avrupa Ligi'nin 6. haftasında 11 Aralık Perşembe günü Norveç ekibi Brann ile deplasmanda yapacağı maçın hazırlıklarına ara vermeden başladı.",0,https://www.cnnturk.com/spor/futbol/fenerbahce-norvecte-oynanacak-mac-oncesi-hazirliklara-basladi-2369169
Fenerbahçe'de Semedo'nun geri dönüş tarihi belli oldu,"Fenerbahçe, Portekizli futbolcu Nelson Semedo'nun hastanede yapılan MR görüntülemesinde sağ arka adalesinde kısmi yırtık tespit edildiğini açıkladı.",1,https://www.cnnturk.com/spor/futbol/fenerbahcede-semedonun-geri-donus-tarihi-belli-oldu-2369164
Gaziantep’te iki ayrı kazada 5 kişi yaralandı,Gaziantep’te iki ayrı kazada 5 kişi yaralandı,0,https://www.cnnturk.com/yerel-haberler/gaziantep/nurdagi/gaziantepte-iki-ayri-kazada-5-kisi-yaralandi-2369171
Otomobil ile çarpışan motosikletteki 2 kardeş öldü,Otomobil ile çarpışan motosikletteki 2 kardeş öldü,0,https://www.cnnturk.com/yerel-haberler/sanliurfa/otomobil-ile-carpisan-motosikletteki-2-kardes-oldu-2369173
MASTERCHEF'TE ŞAMPİYON KİM OLDU? 2025 MasterChef Şampiyonu Kim Oldu? Özkan Mı Sezer Mi?,"MasterChef Şampiyonu, TV8 ekranlarında yayınlanan ve Türkiye’nin en sevilen yemek yarışmalarından biri olan MasterChef Türkiye 2025’te büyük finalle izleyiciyi ekran başına kilitledi. Mehmet Yalçınkaya, Danilo Zanna ve Somer Sivrioğlu’nun jüri koltuğunda oturduğu yarışmada aylar süren maratonun ardından nefes kesen bir gece yaşandı. Finalde, mutfaktaki hünerlerini sergileyen iki güçlü isim Özkan ve Sezer, canlı yayında karşı karşıya geldi. Anadolu mutfağından uluslararası lezzetlere uzanan üç etaplık finalde yarışmacılar hem teknik hem de yaratıcılık sınavından geçti. Heyecan dolu gecede şeflerin verdiği puanlar canlı yayında açıklandı ve sanal medyada büyük yankı uyandırdı. Peki, MasterChef şampiyonu kim oldu? 2025 MasterChef'te şampiyon kim oldu?",1,https://www.cnnturk.com/magazin/masterchef-sampiyon-kim-oldu-2025-masterchefte-sampiyon-kim-oldu-ozkan-mi-sezer-mi-2369002
"6 ARALIK REYTİNG SONUÇLARI: Güller ve Günahlar, Adalet Savaşı, Ben Leman, Güldür Güldür Show, M.Ö. 10.000, Gönül Dağı, MasterChef Türkiye Final gecenin birincisi kim oldu? İşte 6 Aralık reytingleri...","6 Aralık Cumartesi reyting sonuçları araştırılıyor. Birincilik mücadelesi veren dizilerin izleyicileri, sonuçları yakından takip ediyor. Dün akşam Güller ve Günahlar, Adalet Savaşı, Ben Leman, Güldür Güldür Show, M.Ö. 10.000, Gönül Dağı, MasterChef Türkiye Final gibi yapımlar ekrana geldi. Güller ve Günahlar reyting sonuçları, MasterChef reyting sonuçları, Gönül Dağı reyting sonuçları ve Adalet Savaşı reyting sonuçları araştırılıyor. Peki, 6 Aralık  reyting sonuçları ne oldu?  Güller ve Günahlar, Adalet Savaşı, Ben Leman, Güldür Güldür Show, M.Ö. 10.000, Gönül Dağı, MasterChef Türkiye Final gecenin reyting birincisi kim oldu?",1,https://www.cnnturk.com/magazin/dizi/6-aralik-reyting-sonuclari-guller-ve-gunahlar-adalet-savasi-ben-leman-guldur-guldur-show-m-o-10-000-gonul-dagi-masterchef-2369006
"7 ARALIK AKARYAKIT FİYATLARI 2025 | Motorine zam mı, indirim mi geliyor, akaryakıt fiyatları ne kadar oldu? İşte 7 Aralık 2025 güncel fiyat listesi!","Motorin ve benzin indirim haberleri gündemdeki yerini aldı. Brent petrol piyasalarındaki dinamik seyrin yanı sıra, döviz kurunda yaşanan dalgalanmalar ve uygulanan vergi politikaları, akaryakıt fiyatları üzerinde belirleyici olmaya devam ediyor. Bu hareketlilik, benzin, motorin (mazot) ve LPG litre fiyatlarında sıkça indirim ve zam haberleriyle gündeme geliyor. Türkiye'nin büyük şehirleri olan İstanbul, Ankara ve İzmir'de 7 Aralık 2025 itibarıyla akaryakıt litre fiyatlarındaki son durum merak ediliyor. Vatandaşlar, geçtiğimiz günlerde benzine ve ardından motorine gelen indirimin ardından, ""Benzin ve motorine zam mı geldi?"", ""Bugün akaryakıta indirim var mı?"" gibi sorulara yanıt arıyor. Peki, akaryakıt fiyatları ne oldu? Güncel akaryakıt fiyatları ne durumda? Motorine zam mı geldi?",1,https://www.cnnturk.com/finans-haberler/7-aralik-akaryakit-fiyatlari-2025-motorine-zam-mi-indirim-mi-geliyor-akaryakit-fiyatlari-ne-kadar-oldu-iste-7-aralik-2025-2369011
"7 ARALIK CANLI ALTIN FİYATLARI: Gram Altın Ne Kadar? Çeyrek Altın Fiyatı Ne? Gram, Çeyrek, Yarım, Cumhuriyet Altını Ne Kadar? 7 Aralık Altın Fiyatları","Altın fiyatları 7 Aralık Pazar günü araştırılıyor. Gram altın ne kadar, 24 ayar gram altın fiyatı, çeyrek altın fiyatı, gram altın fiyatı anlık, cumhuriyet altını fiyatı anlık, altın kuru ve canlı altın fiyatları merak edildi.  Merkez Bankası faizi 1 puan düşürdü. TÜFE'deki (2003=100) değişim 2025 yılı Ekim ayında bir önceki aya göre %2,55 artış, bir önceki yılın Aralık ayına göre %28,63 artış, bir önceki yılın aynı ayına göre %32,87 artış ve on iki aylık ortalamalara göre %37,15 artış olarak gerçekleşti. Açıklanmanın ardından il İl altın fiyatları ile Kapalıçarşı gram altın fiyatları merak edildi. Gram altın 23 Eylül Salı gününden beri 5 bin TL'yi geçmiş durumda. Ülke gündemi, TÜİK Kasım ayı enflasyon oranları, Gazze Barış Anlaşması, Merkez Bankası faiz indirimi kararı ve Papa ziyareti sonrasında hareketlenen altın fiyatlarındaki dalgalanma 7 Aralık Pazar haftanın son gününde de devam ediyor. Kapalıçarşı'da altın fiyatları bugün ne kadar oldu da merak edilen konular arasında yerini aldı. Serbest piyasa altın fiyatları, altın ve döviz fiyatları ile anlık altın fiyatları canlı sonuçları sorgulanıyor.  İşte, 7 Aralık Pazar günü gram altın, çeyrek altın, cumhuriyet altını ve Kapalıçarşı gram altın fiyatları...",1,https://www.cnnturk.com/finans-haberler/altin/7-aralik-canli-altin-fiyatlari-gram-altin-ne-kadar-ceyrek-altin-fiyati-ne-gram-ceyrek-yarim-cumhuriyet-altini-ne-2369024
"SON DAKİKA DEPREM! 7 Aralık Pazar deprem mi oldu, nerede, kaç şiddetinde? Son dakika deprem mi oldu? AFAD ve Kandilli Rasathanesi son depremler listesi!","Son dakika deprem haberleri ile ilgili araştırmalar Ege depremi, son dakika Kütahya depremi, İstanbul deprem, Bursa depremi, Osmaniye depremi ve Balıkesir depremi haberlerinin ardından yoğunluk kazandı. Bulundukları bölgede sarsıntı hisseden çok sayıda vatandaş ""7 Aralık Pazar deprem mi oldu? Nerede, kaç şiddetinde? Ege'de deprem mi oldu?, Ege Denizi'nde deprem mi oldu? İstanbul'da deprem mi oldu?, Balıkesir'de deprem mi oldu?, Hatay'da deprem mi oldu?, Kütahya'da deprem mi oldu?"" sorularına yanıt arıyor. Peki, bugün deprem mi oldu? Deprem nerede oldu, kaç şiddetinde? İşte, 7 Aralık Pazar günü Kandilli Rasathanesi ve AFAD tarafından yayımlanan son depremler listesi...",1,https://www.cnnturk.com/turkiye/son-dakika-deprem-7-aralik-pazar-deprem-mi-oldu-nerede-kac-siddetinde-son-dakika-deprem-mi-oldu-afad-ve-kandilli-rasathanesi-son-2369028
"6 ARALIK SAYISAL LOTO SONUÇ SORGULAMA: Çılgın Sayısal Loto'da Kim, Ne Kadar Kazandı? İşte 6 Aralık Milli Piyango Çılgın Sayısal Loto Sonuçları!","Çılgın Sayısal Loto çekilişi sonuçları şans oyunu severler tarafından heyecanla beklendi. 6 Aralık Cumartesi akşamı Milli Piyango'da Çılgın Sayısal Loto çekilişi gerçekleştirildi. Haftanın üçüncü çekilişiyle Çılgın Sayısal Loto çekilişi dün akşam yapıldı. Peki, Çılgın Sayısal Loto sonuçları açıklandı mı? Çılgın Sayısal Loto sonuçları nereden öğrenilir? İşte6 Aralık Cumartesi  Sayısal Loto sonuç sorgulama ekranı…",1,https://www.cnnturk.com/ekonomi/6-aralik-sayisal-loto-sonuc-sorgulama-cilgin-sayisal-lotoda-kim-ne-kadar-kazandi-iste-6-aralik-milli-piyango-cilgin-sayisal-loto-2369030
"DEMOKAN AKKOYUN KİMDİR? Açelya Akkoyun'un Abisi Demokan Akkoyun Neden Öldü, Hastalığı Neydi? İşte Hayatı...","Demokan Akkoyun, ünlü oyuncu Açelya Akkoyun’un abisi hayatını kaybetti. Sanal medyada paylaşılan duygusal mesajlarla ortaya çıkan bu haber, sanat dünyasında büyük üzüntü yarattı. Açelya Akkoyun, ağabeyiyle olan güçlü bağını ve hayatındaki önemini vurgulayan satırlarla sevenlerini derinden etkiledi. İstanbul’da yaşayan Demokan Akkoyun, iş dünyasında tanınan bir isimdi ve ailesiyle olan yakın ilişkisiyle biliniyordu. Açelya Akkoyun’un yaptığı paylaşım, kardeşlik bağlarının ne kadar güçlü olduğunu bir kez daha gözler önüne serdi. Peki, Demokan Akkoyun kimdir? Açelya Akkoyun'un abisi Demokan Akkoyun neden öldü, hastalığı neydi? Demokan Akkoyun nereli, kaç yaşındaydı?",1,https://www.cnnturk.com/magazin/demokan-akkoyun-kimdir-acelya-akkoyunun-abisi-demokan-akkoyun-neden-oldu-hastaligi-neydi-iste-hayati-2369117
"Dışişleri Bakanı Hakan Fidan, Suriyeli mevkidaşı Şeybani ile görüştü","Dışişleri Bakanı Hakan Fidan, 23’üncü Doha Forumu kapsamında, Suriye Dışişleri Bakanı Esad Hasan Şeybani ile bir araya geldi.",0,https://www.cnnturk.com/dunya/disisleri-bakani-hakan-fidan-suriyeli-mevkidasi-seybani-ile-gorustu-2369159
"F1 ABU DABİ GRAND PRIX CANLI İZLE: Formula 1 Abu Dabi GP Final Saat Kaçta, Hangi Kanalda? Lando Norris, Max Verstappen ve Oscar Piastri İşte F1 Abu Dabi GP Canlı İzleme Ekranı...","F1 Abu Dabi GP, Formula 1 sezonunun en heyecanlı finaline sahne oluyor. Yas Marina Pisti’nde gerçekleşen yarışta şampiyonluk için nefes kesen bir mücadele var. Lando Norris, Max Verstappen ve Oscar Piastri, sezon boyunca süren çekişmeyi Abu Dabi’de zirveye taşıdı. McLaren, Red Bull ve Mercedes takımları arasında geçen bu büyük kapışmada, George Russell ve Charles Leclerc gibi güçlü isimler de podyum mücadelesinde yer alıyor. Dünyanın en prestijli motor sporları organizasyonu olan Formula 1, bu finalle birlikte milyonlarca izleyiciyi ekran başına kilitliyor. Peki, Formula 1 Abu Dabi GP Finali hangi kanalda, saat kaçta? F1 Abu Dabi GP nereden canlı izlenir? İşte F1 Abu Dabi GP canlı izleme ekranı...",1,https://www.cnnturk.com/spor/f1-abu-dabi-grand-prix-canli-izle-formula-1-abu-dabi-gp-final-saat-kacta-hangi-kanalda-lando-norris-max-verstappen-ve-oscar-piastri-2369118
Bahis soruşturmasında gözaltına alınan Ahmet Çakar hastaneye kaldırıldı,"""Futbolda bahis"" soruşturması kapsamında gözaltına alınan 38 şüpheli arasında yer alan eski hakem ve spor yorumcusu Ahmet Çakar, hastaneye kaldırıldı.",0,https://www.cnnturk.com/turkiye/bahis-sorusturmasinda-gozaltina-alinan-ahmet-cakar-hastaneye-kaldirildi-2369151
Sivas'ta devrilen cezaevi nakil aracında yaralanan 9 kişiden 8'i taburcu edildi,Sivas'ta devrilen cezaevi nakil aracında yaralanan 9 kişiden 8'i taburcu edildi,0,https://www.cnnturk.com/yerel-haberler/sivas/merkez/sivasta-devrilen-cezaevi-nakil-aracinda-yaralanan-9-kisiden-8i-taburcu-edildi-2369172
Bahis soruşturması kapsamında gözaltında alınan Ahmet Çakar hastaneye kaldırıldı,"- Eski hakem ve spor yorumcusu Çakar, emniyetteki işlemler sırasında kendisini iyi hissetmediğini söylemesi üzerine kalp krizi şüphesiyle Samatya'daki İstanbul Eğitim ve Araştırma Hastanesi'ne götürüldü
- Çakar'ın hastanede çekilen EKG'sinin temiz çıktığı, detaylı tetkiklerinin ise sürdüğü bilgisine ulaşıldı",0,https://www.cnnturk.com/yerel-haberler/istanbul/bahis-sorusturmasi-kapsaminda-gozaltinda-alinan-ahmet-cakar-hastaneye-kaldirildi-2369156
Bursa'da dereye devrilen otomobildeki 3 kişi yaralandı,Bursa'da dereye devrilen otomobildeki 3 kişi yaralandı,0,https://www.cnnturk.com/yerel-haberler/bursa/bursada-dereye-devrilen-otomobildeki-3-kisi-yaralandi-2369155
"Tokat kaza: 1 ölü, 2 yaralı","Tokat kaza: 1 ölü, 2 yaralı",0,https://www.cnnturk.com/yerel-haberler/tokat/merkez/tokat-kaza-1-olu-2-yarali-2369157
